StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q112,Q72,Q92_1,Q96_1,Q1644,Q1645,Q1646_1,Q1646_2,Q1646_3,Q1646_4,Q1646_5,Q1646_6,Q1647,Q1648,Q1649,Q1650,Q1654,Q1655,Q1656_1,Q1656_2,Q1656_3,Q1656_4,Q1656_5,Q1656_6,Q1657,Q1658,Q1659,Q1660,Q1664,Q1665,Q1666_1,Q1666_2,Q1666_3,Q1666_4,Q1666_5,Q1666_6,Q1667,Q1668,Q1669,Q1670,Q1674,Q1675,Q1676_1,Q1676_2,Q1676_3,Q1676_4,Q1676_5,Q1676_6,Q1677,Q1678,Q1679,Q1680,Q98,Q1684,Q1685,Q1686_1,Q1686_2,Q1686_3,Q1686_4,Q1686_5,Q1686_6,Q1687,Q1688,Q1689,Q1690,Q1694,Q1695,Q1696_1,Q1696_2,Q1696_3,Q1696_4,Q1696_5,Q1696_6,Q1697,Q1698,Q1699,Q1700,Q1704,Q1705,Q1706_1,Q1706_2,Q1706_3,Q1706_4,Q1706_5,Q1706_6,Q1707,Q1708,Q1709,Q1710,Q1714,Q1715,Q1716_1,Q1716_2,Q1716_3,Q1716_4,Q1716_5,Q1716_6,Q1717,Q1718,Q1719,Q1720,Q867,Q1724,Q1725,Q1726_1,Q1726_2,Q1726_3,Q1726_4,Q1726_5,Q1726_6,Q1727,Q1728,Q1729,Q1730,Q1846,Q1757,Q1758,Q1759_1,Q1759_2,Q1759_3,Q1759_4,Q1759_5,Q1759_6,Q1760,Q1761,Q1762,Q1763,Q1847,Q1787,Q1788,Q1789_1,Q1789_2,Q1789_3,Q1789_4,Q1789_5,Q1789_6,Q1790,Q1791,Q1792,Q1793,Q1848,Q1817,Q1818,Q1819_1,Q1819_2,Q1819_3,Q1819_4,Q1819_5,Q1819_6,Q1820,Q1821,Q1822,Q1823,Q1849,Q1734,Q1735,Q1736_1,Q1736_2,Q1736_3,Q1736_4,Q1736_5,Q1736_6,Q1737,Q1738,Q1739,Q1740,Q1767,Q1768,Q1769_1,Q1769_2,Q1769_3,Q1769_4,Q1769_5,Q1769_6,Q1770,Q1771,Q1772,Q1773,Q1797,Q1798,Q1799_1,Q1799_2,Q1799_3,Q1799_4,Q1799_5,Q1799_6,Q1800,Q1801,Q1802,Q1803,Q1827,Q1828,Q1829_1,Q1829_2,Q1829_3,Q1829_4,Q1829_5,Q1829_6,Q1830,Q1831,Q1832,Q1833,Q1744,Q1745,Q1746_1,Q1746_2,Q1746_3,Q1746_4,Q1746_5,Q1746_6,Q1747,Q1748,Q1749,Q1750,Q1777,Q1778,Q1779_1,Q1779_2,Q1779_3,Q1779_4,Q1779_5,Q1779_6,Q1780,Q1781,Q1782,Q1783,Q1807,Q1808,Q1809_1,Q1809_2,Q1809_3,Q1809_4,Q1809_5,Q1809_6,Q1810,Q1811,Q1812,Q1813,Q1837,Q1838,Q1839_1,Q1839_2,Q1839_3,Q1839_4,Q1839_5,Q1839_6,Q1840,Q1841,Q1842,Q1843,Q69,Q67,Q64,Q69 2,Q73,type,task,Enter Embedded Data Field Name Here...
7/17/17 8:26,7/17/17 8:31,0,107.207.95.53,100,334,1,7/17/17 8:31,R_3RdMYQxHO2sd6J8,,,,,32.86880493,-80.04000092,anonymous,EN,AU5G2T1AY2XRJ,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Algorithms are calculations made within certain parameters that someone programs it to do, or sets it to.",4,The manager's job is to assign workers to check on components that the algorithm deems necessary. Chris is simply doing his job and contributing to the factory by checking on the component.,6,4,6,4,2,2,Chris shouldn't really be upset about doing his job. I'm sure other workers also get similar assignments.,5,"The manager just probably makes a choice based on reliability, trust in the worker, and who's available for his assignment.",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,1,3,7,2,1,
7/17/17 8:26,7/17/17 8:31,0,66.74.57.89,100,332,1,7/17/17 8:31,R_3KvhqpAFzD83tTA,,,,,34.15370178,-116.4188995,anonymous,EN,AA9V4NE8SOA4I,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,They are math equations that find averages and use these to make predictions.,,,,,,,,,,,,,,7,It is only in consideration of need.,4,4,3,2,1,2,I don't think would feel as though he made the decision himself. ,5,I would assume the computer is good at figuring service needs.,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,47,2,2,1,2,2,
7/17/17 8:28,7/17/17 8:31,0,98.243.193.119,100,227,1,7/17/17 8:31,R_3MgMKDIJrqaKo5u,,,,,42.53869629,-82.94940186,anonymous,EN,A2YP60DM1HYTH8,"1,2",3,6,7,It is the managers job to assign tasks so it's fair that he lets Chris know what to do,5,4,6,1,1,1,He is proud and satisfied with the job he has and what he has to do,6,You trust the manager to make the right decisions ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29,1,3,1,5,1,
7/17/17 8:26,7/17/17 8:32,0,70.40.103.23,100,354,1,7/17/17 8:32,R_2OYWLCOqXmN3suf,,,,,33.92689514,-78.52189636,anonymous,EN,A3KWYSK76ZU4HL,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Computer formulas that make decisions using input from various sources ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,The manager and the algorithm do not use the same data. The human uses recordings.,3,3,4,5,2,4,Maybe Chris doesn't agree with the evaluation and can't do anything about it ,4,I trust the algorithm but not the human input from the manager. Some people lie to benefit themselves.,1,1,41,1,6,1,4,4,
7/17/17 8:28,7/17/17 8:32,0,24.169.13.161,100,210,1,7/17/17 8:32,R_1Ia4G68yh88EsNm,,,,,42.74699402,-73.75900269,anonymous,EN,AM0QVBV8L6QCJ,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,6,According to the fact pattern the algorithm analyzes employees availability as well as customer visiting,6,4,4,4,2,4,The algorithm took consideration his availability as well as customer visiting. I assume he can always speak to the management if he wants a change,5,Assuming the algorithm had the correct input for employee availability and customer visiting I would rely on it subject to employees having reasons for a change,1,,,,,,,,,,,,,,,,,,,,,,,,,A type of mathematical result after feeding in certain data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,2,8,1,1,2,
7/17/17 8:26,7/17/17 8:32,0,74.194.54.99,100,342,1,7/17/17 8:32,R_3Mcnc0DDElKpUTt,,,,,33.44050598,-90.66239929,anonymous,EN,A3D2U4QF7821ZW,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,7,He is on equal footing with each of the applicants. ,5,5,4,2,2,2,He might be worries about being selected but knows he has as good of a chance as the others. ,6,The algorithm is made in a way to get the best prospects. ,1,,,,,,,,,,,,,Man made programs that perform tasks without human intervention. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31,2,5,1,1,3,
7/17/17 8:26,7/17/17 8:32,0,216.57.222.134,100,345,1,7/17/17 8:32,R_29rWisKH7MZFxar,,,,,48.79820251,-122.4098053,anonymous,EN,A1BSA7FVVJGZ15,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Algorithms are processes which take in information and return a result.  Usually these are performed by computers but can also be done by a person.,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"The business has to balance employee needs with customer needs and business needs.  The algorithm accounts for the business and customer needs, while the manager input accounts for the employees needs.",5,5,5,3,3,3,"Chris' availability should have indicated that he could work mornings, so he should be okay with working mornings.",6,Algorithms are usually devised after a lot of trial and error.  While there will be potential mistakes they should be rare.,1,,,,,,,,,,,,,,,,,,,,,,,,,4,42,2,5,1,4,2,
7/17/17 8:27,7/17/17 8:32,0,72.213.187.175,100,304,1,7/17/17 8:32,R_10IOL4rs2vvXyke,,,,,36.04020691,-95.87960052,anonymous,EN,A2HGZOXZ36XKRI,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,They are processes to make decisions or to solve a problem. They operate on logical and whatever rules you want to set for them.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,It is fair as long as he knows how the algorithm reaches a decision. ,5,4,5,2,2,2,"If he does well then the algorithm will note this, and he will be happy.",6,The algorithm is based on logical and will use logic and make a logical decision every time and will be consistent.,1,3,40,2,4,1,4,4,
7/17/17 8:28,7/17/17 8:32,0,184.15.49.107,100,245,1,7/17/17 8:32,R_23ZvaRIila7JfI0,,,,,39.48410034,-80.06009674,anonymous,EN,A2GAQZAZWV01PU,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Algorithms are complex computations that can be used to measure something. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,It is always better to combine analyses but sometime can scew results.,5,5,5,3,3,3,Chriss probably feels somewhat happy about because he knows it will give him better results. ,4,I would put some trust into it but would be careful in case it gives false results. ,1,1,21,2,5,1,4,4,
7/17/17 8:26,7/17/17 8:32,0,216.49.50.155,100,354,1,7/17/17 8:32,R_2uVcM8AzX0THxZF,,,,,40.99949646,-75.1812973,anonymous,EN,A136WVBAZDIVLZ,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,The algorithm helps analyze everything with the components and helps Chris to be more efficient ,7,7,7,1,1,1,"He still gets to do his job, just a lot more efficient ",4,It is still a machine or tech that can mess up,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A system that helps determine if something is right or wrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,36,2,3,1,1,1,
7/17/17 8:27,7/17/17 8:32,0,75.140.206.180,100,271,1,7/17/17 8:32,R_2SqPMhDByzevlm6,,,,,36.70440674,-76.60970306,anonymous,EN,A11TREGDHSUSJW,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,People can call up and already be upset without Chris even doing anything. ,2,2,2,6,5,6,"I think that he would be upset, because there are some calls where people are angry and nothing will calm them down and he gets docked for that.",2,I wouldn't trust the algorithm to be able to see the difference when Chris actually upsets someone versus when someone is upset because their service isn't working.,1,They are a formula that you use to do a certain job.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,2,2,1,1,4,
7/17/17 8:26,7/17/17 8:32,0,208.95.137.180,100,382,1,7/17/17 8:32,R_2YsqhhfqXXpXwiG,,,,,41.35809326,-86.31220245,anonymous,EN,A3C9PTN49QTVFN,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,functions that analyze given information. ,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,It benefits both the customers and the employee,5,5,4,3,2,4,"Why would he be angry? If it schedules himto work when he is available and the shop is busy, what would there be to be angry about?",5,It can easily schedule the work shifts. ,1,,,,,,,,,,,,,,,,,,,,,,,,,1,34,1,5,1,4,2,
7/17/17 8:27,7/17/17 8:32,0,97.96.51.66,100,302,1,7/17/17 8:32,R_21BPoa3Kqu106ZB,,,,,27.57009888,-82.37979889,anonymous,EN,AWCO7MG0BHSTQ,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,"There may be some qualities that are important, that the recruiters did not realize beforehand would be an ideal qualification for this position and is ultimately overlooked by the computer's algorithm. ",3,3,3,6,5,5,Chris may feel that his resume and personal statement were not properly considered.,3,There are some experiences and qualities that can not be codified into an algorithm. ,1,,,,,,,,,,,,,Algorithms are calculations based on information that a computer generates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27,1,8,2,1,3,
7/17/17 8:26,7/17/17 8:32,0,99.127.196.40,100,384,1,7/17/17 8:32,R_1JJdDpTlKVB12vh,,,,,35.85719299,-84.0177002,anonymous,EN,A2YXQMZ32BY8XH,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A computer program is giving specific data and it discerns from that what is the best course of action for what is needed.,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,"If Chris's availability is the mornings, then it would be reasonable to schedule him them. ",6,6,6,1,1,1,Chris should be happy if his availability is in the mornings. ,6,"There might be times that a person can't make a certain day work, so the manager might need to run the schedule by the employee 1st. ",1,,,,,,,,,,,,,,,,,,,,,,,,,1,34,2,2,1,4,2,
7/17/17 8:26,7/17/17 8:32,0,68.96.180.214,100,390,1,7/17/17 8:32,R_OIETgVEKGzCVDZT,,,,,36.17880249,-115.0495987,anonymous,EN,A2N4DD7IS7EI2D,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,7,I think it is fair because that's when he should work,7,7,7,1,1,1,I feel like Chris really has no choice when his shift is.,4,"I somewhat trust it because it might mess up and have a little amount of people working a busy time of the day, and a lot when it isn't.",1,,,,,,,,,,,,,,,,,,,,,,,,,It's a system that determines things for people. Like video recommendation's or how stuff is curated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27,2,2,4,1,2,
7/17/17 8:26,7/17/17 8:32,0,184.6.90.235,100,399,1,7/17/17 8:32,R_29lSYOuxCc0tLT4,,,,,38.75990295,-94.2614975,anonymous,EN,A1K9QGO39NG7DV,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,There seems like a lot of room for error. ,1,1,4,4,5,7,I'm going off what I would personally feel. I don't think anyone would want to be based off their tone by a computer.,1,It just doesn't seem reliable.,1,It's a set of rules or guidelines that the computer based the performance off of.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28,1,4,1,1,4,
7/17/17 8:26,7/17/17 8:33,0,198.36.61.201,100,405,1,7/17/17 8:33,R_d6bSOTIFqzB9LsB,,,,,26.102005,-97.41130066,anonymous,EN,A2LI0QVPKA5CG8,"1,2",3,6,,,,,,,,,,,,,6,"It is fair because Chris applied for and obviously accepted the job therefore he takes teh schedule he is assigned. Someone has to work mornings, why not Chris. ",6,6,6,1,1,1,I think Chris would be happy to hav ethe job in teh first place and feel very proud that the manager trusts him enough to put him on what is usually the busiest shift for a coffee house.,6,He made it to the position of management so I have to assume with teh information given that he is competent at his job.,1,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,39,1,3,1,5,2,
7/17/17 8:26,7/17/17 8:33,0,173.244.44.2,100,405,1,7/17/17 8:33,R_1IZyY8TAHrmNF2V,,,,,47.60620117,-122.3320999,anonymous,EN,A22ON3MIIG0IJA,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A computer tool to analyze data and predict outcomes or come to a conclusion with some probability attached,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"I don't see how fairness is even a factor, he will need to check all components at some point anyways or when they fail",2,2,2,2,2,2,"I don't think he would feel any certain way, he would just be doing his job",5,"The algorithm can analyze a vast amount of data and come to a conclusion, and the manager can act as a filter if it comes up with something that doesn't seem quite right and he can intervene",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,37,2,4,1,4,1,
7/17/17 8:30,7/17/17 8:33,0,104.3.176.117,100,164,1,7/17/17 8:33,R_2czKyER0VBnBFDf,,,,,30.37030029,-81.58719635,anonymous,EN,A28HB7240OFGEW,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,It is the managers job to evaluate chris. It should be expected. ,4,2,4,2,2,2,Chris probably doesn't have very strong feelings about it since it is just part of his job. ,4,"I don't have enough details, but I would assume that he does a good job since he hasn't been fired yet. ",1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,2,5,1,5,4,
7/17/17 8:28,7/17/17 8:33,0,162.233.10.75,100,279,1,7/17/17 8:33,R_wTXwRjg6dMvyxrz,,,,,35.97129822,-83.61930084,anonymous,EN,A36A510EEJ0NOC,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A computer calculation of how things are chosen and seen to the user.,,,,,,,,,,,,,,,,,,,,,,,,,,,3,I feel Chris deserves to have his resume read and not put into a computing system to be compared to other's by a computer.,2,3,5,6,3,5,I think Chris's feelings would be different depending on if he was chosen or not.,6,I believe  the manager will choose the best candidate from the top choices presented by the algorithm..,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,32,1,4,1,2,3,
7/17/17 8:30,7/17/17 8:33,0,108.171.130.187,100,149,1,7/17/17 8:33,R_1dB8zbpw6DHAmNH,,,,,40.78010559,-74.06330109,anonymous,EN,A1N8IT6PFVE7SU,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,algorithms cant be fully and fairly evaluative ,4,4,4,4,4,4,it's hard to tell based on what the results come up as in the evaluation,2,I don't personally think the algorithm can appropriately gauge ,1,computer programming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27,1,5,1,1,4,
7/17/17 8:31,7/17/17 8:33,0,198.7.59.107,100,147,1,7/17/17 8:33,R_Y3KpXOyaRrZr21P,,,,,38.77009583,-77.63210297,anonymous,EN,A3HIO96PK1JA03,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NUMBERS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ITS FAIR ,5,5,5,2,2,2,FEELS OKAY,6,THERE IS TRUST ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,2,5,1,3,3,
7/17/17 8:30,7/17/17 8:33,0,71.75.178.70,100,218,1,7/17/17 8:33,R_2ve8AIC94ElYYuY,,,,,35.33999634,-80.21080017,anonymous,EN,A1T0NW527WZT7G,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algorithms are analytical computer programs that parse data by preset variables sorting it in many different ways ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,The manager can't possibly read thousands of resumes so the analysis by the algorithm is necessary to narrow the search. ,2,2,2,5,6,7,I imagine he would be disappointed and angry that a machine is deciding if he can do a mans job or not. ,3,Algorithms are very complicated things and not very prone to flexibility like a hiring manager might need to be. ,1,,,,,,,,,,,,,2,31,2,5,1,4,3,
7/17/17 8:26,7/17/17 8:33,0,24.91.15.129,100,416,1,7/17/17 8:33,R_2ceezPAc8he39l2,,,,,41.63540649,-70.9434967,anonymous,EN,A1CIIX0CB0GR7H,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Descriptions of processes used in order to perform a task.,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"As long as Chris is OK with working those hours, I see no problem with it.",4,4,4,4,4,4,The algorithm chose according to worker need and really had nothing to do with Chris at all. He shouldn't feel any emotions one way or the other.,4,"As long as the manager can step in and account for employee emergencies and whatnot, I see no problem to using this algorithm.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,39,2,3,1,3,2,
7/17/17 8:26,7/17/17 8:33,0,50.4.76.7,100,450,1,7/17/17 8:33,R_21adXC35Irx0u4z,,,,,41.31300354,-81.85119629,anonymous,EN,A1TLX97CGYRZIM,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,6,"This appears to be fair, as it does not schedule an individual during a time that he/she is not available, in addition it also takes into account the typical amount of workload the individual can handle which is quite nice ",5,5,2,2,2,5,"It is quite possible Chris may feel frustrated he has to work the morning shift, however he could also have the opposite emotions since he is able to work and make a living",5,"Even though the computer can use an algorithm to determine what time ""best suites"" the employee, it is still a computer which cannot fully comprehend human emotions. It would not be able to see how well the individual performs during the day, nor does it know how well the individual will work during the time of day it schedules the individual to work ",2,,,,,,,,,,,,,,,,,,,,,,,,,"algorithms are number based calculations that represent real things such as individuals or other objects, to determine the best option to take  on a computational level",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,2,2,4,1,2,
