StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q112,Q72,Q92_1,Q96_1,Q1644,Q1645,Q1646_1,Q1646_2,Q1646_3,Q1646_4,Q1646_5,Q1646_6,Q1647,Q1648,Q1649,Q1650,Q1654,Q1655,Q1656_1,Q1656_2,Q1656_3,Q1656_4,Q1656_5,Q1656_6,Q1657,Q1658,Q1659,Q1660,Q1664,Q1665,Q1666_1,Q1666_2,Q1666_3,Q1666_4,Q1666_5,Q1666_6,Q1667,Q1668,Q1669,Q1670,Q1674,Q1675,Q1676_1,Q1676_2,Q1676_3,Q1676_4,Q1676_5,Q1676_6,Q1677,Q1678,Q1679,Q1680,Q98,Q1684,Q1685,Q1686_1,Q1686_2,Q1686_3,Q1686_4,Q1686_5,Q1686_6,Q1687,Q1688,Q1689,Q1690,Q1694,Q1695,Q1696_1,Q1696_2,Q1696_3,Q1696_4,Q1696_5,Q1696_6,Q1697,Q1698,Q1699,Q1700,Q1704,Q1705,Q1706_1,Q1706_2,Q1706_3,Q1706_4,Q1706_5,Q1706_6,Q1707,Q1708,Q1709,Q1710,Q1714,Q1715,Q1716_1,Q1716_2,Q1716_3,Q1716_4,Q1716_5,Q1716_6,Q1717,Q1718,Q1719,Q1720,Q867,Q1724,Q1725,Q1726_1,Q1726_2,Q1726_3,Q1726_4,Q1726_5,Q1726_6,Q1727,Q1728,Q1729,Q1730,Q1757,Q1758,Q1759_1,Q1759_2,Q1759_3,Q1759_4,Q1759_5,Q1759_6,Q1760,Q1761,Q1762,Q1763,Q1817,Q1818,Q1819_1,Q1819_2,Q1819_3,Q1819_4,Q1819_5,Q1819_6,Q1820,Q1821,Q1822,Q1823,Q978,Q979,Q1734,Q1735,Q1736_1,Q1736_2,Q1736_3,Q1736_4,Q1736_5,Q1736_6,Q1737,Q1738,Q1739,Q1740,Q1767,Q1768,Q1769_1,Q1769_2,Q1769_3,Q1769_4,Q1769_5,Q1769_6,Q1770,Q1771,Q1772,Q1773,Q1797,Q1798,Q1799_1,Q1799_2,Q1799_3,Q1799_4,Q1799_5,Q1799_6,Q1800,Q1801,Q1802,Q1803,Q1827,Q1828,Q1829_1,Q1829_2,Q1829_3,Q1829_4,Q1829_5,Q1829_6,Q1830,Q1831,Q1832,Q1833,Q1744,Q1745,Q1746_1,Q1746_2,Q1746_3,Q1746_4,Q1746_5,Q1746_6,Q1747,Q1748,Q1749,Q1750,Q1777,Q1778,Q1779_1,Q1779_2,Q1779_3,Q1779_4,Q1779_5,Q1779_6,Q1780,Q1781,Q1782,Q1783,Q1807,Q1808,Q1809_1,Q1809_2,Q1809_3,Q1809_4,Q1809_5,Q1809_6,Q1810,Q1811,Q1812,Q1813,Q1837,Q1838,Q1839_1,Q1839_2,Q1839_3,Q1839_4,Q1839_5,Q1839_6,Q1840,Q1841,Q1842,Q1843,Q69,Q67,Q64,Q69 2,Q73,type,task
7/7/17 10:07,7/7/17 10:13,0,206.74.177.97,100,356,1,7/7/17 10:13,R_27lIKYC6TnvxpyW,,,,,36.67469788,-84.40540314,anonymous,EN,A10V73ANM5HV2A,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,They're processes that computers use to analyze data and suggest the best outcome.,,,,,,,,,,,,,6,It is fair because Chris's availability is taken into consideration.,6,4,4,2,2,2,I think he'd be perfectly happy to be scheduled for the times he put down as available.,5,It seems like using this process would lead to good scheduling.,1,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35,1,3,1,2,2
7/7/17 9:44,7/7/17 9:47,0,68.14.130.147,100,195,1,7/7/17 9:47,R_23f8fJkrz201PKS,,,,,41.83380127,-72.57060242,anonymous,EN,A3K2VLUT3MU9H2,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A formula that you can plug variables into.,,,,,,,,,,,,,5,"It's not really his choice, it's up to the algorithm. It's fair.",3,2,2,5,3,5,"He would probably be annoyed, but get used to it. There's not much to argue about.",5,"If it's a known algorithm, it will be fair and the same process for every employee",1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,2,4,1,2,2
7/7/17 9:37,7/7/17 9:45,0,75.174.96.185,100,439,1,7/7/17 9:45,R_1myN3NS4TomumCM,,,,,43.56100464,-116.213501,anonymous,EN,A36TE52PSYAAD6,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"An algorithm is just a word for a problem solving process, usually used in reference to computers.",6,"I do not see the word choice of description on the manager's decision making process as being a matter of justice. So, it's fair"" I guess."""" do not see th""",1,1,1,1,1,1,It's hard to imagine Chris feeling anything in particular about such a routine part of work.,5,I don't have enough information about the manager to make a good judgement.,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,23,1,3,1,2,1
7/7/17 10:15,7/7/17 10:20,0,68.45.166.18,100,322,1,7/7/17 10:20,R_55QzCk4OCbtMB9v,,,,,40.4223938,-86.80310059,anonymous,EN,A1AA0WXXEHPM3V,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Some kind of error could hurt his evaluation.,4,3,3,4,4,5,"If he does poorly, he might be frustrated with the algorithm and question how well it works",2,Technology is not yet advanced enough to evaluate somebody like that in their job,1,They are computer programs that use past information to make reasonable choices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,2,3,1,1,4
7/7/17 9:37,7/7/17 9:42,0,65.101.230.155,100,321,1,7/7/17 9:42,R_eba8Z66QFQJq8mt,,,,,39.9355011,-105.0473022,anonymous,EN,A3JP7DIFRS0ZBY,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,I dont know enough about the algorithm.,3,3,2,4,4,5,Without knowing anything else I imagine the monitoring would not please chris,1,I dont trust things like this when I know nothing about them.  trust is earned.,1,mathematical constructs employed for specific processes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,47,2,5,1,1,4
7/7/17 9:36,7/7/17 9:40,0,73.6.1.245,100,268,1,7/7/17 9:40,R_1jg1CzE1PuGppC4,,,,,29.80310059,-94.98020172,anonymous,EN,APITQRRX2PADB,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,I disagree that a machine should be able to evaluate a human.,2,2,2,6,5,6,I just think if I were him I would be upset that I wasn't being evaluated by a human being,1,"A machine can never understand human nature, tones or emotions and is in no position to make such evaluations",1,rules based on previous research that a computer uses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,34,1,5,3,1,4
7/7/17 9:48,7/7/17 9:56,0,192.67.88.5,100,490,1,7/7/17 9:56,R_1n3lTxIRhNdatMr,,,,,31.14509583,-99.34780121,anonymous,EN,A2ZJAEL03VTZ8,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,7,Using this method makes the process completely unbyast,5,5,6,2,3,3,I think it would make it easier to weed through the people who do not fit the qualifications,6,It just weeds through the people who do not meet the minimum qualificaitons.,1,,,,,,,,,,,,,not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29,1,3,1,1,3
7/7/17 9:49,7/7/17 9:52,0,50.24.98.165,100,163,1,7/7/17 9:52,R_dm5IR9dmnsObbWh,,,,,30.56700134,-96.28369904,anonymous,EN,A1HN4550TIXQBZ,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,7,The algorithm is benevolent.,6,6,4,4,4,4,Chris would be okay with the selection.,7,Algorithms can be trusted.,1,,,,,,,,,,,,,Algorithms are mathematical codes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,30,2,5,4,1,3
7/7/17 9:40,7/7/17 9:47,0,71.112.174.176,100,444,1,7/7/17 9:47,R_2us645TFb2QyUCs,,,,,40.45959473,-79.83580017,anonymous,EN,AIHHRINW9IN1I,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,6,"He gave his availability, and it is what the company needs. He can change his availability if he doesn't want to work mornings.",5,4,4,3,2,2,I think he would be fine with his schedule and wouldn't feel strong emotion about it.,6,"It uses a lot of data to make its decisions, and I think that it probably makes the best overall decision for the business.",1,,,,,,,,,,,,,,,,,,,,,,,,,Mathematical formulas that account for a lot of factors to make decisions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33,1,6,1,1,2
7/7/17 9:40,7/7/17 9:43,0,47.196.86.209,100,149,1,7/7/17 9:43,R_31Y6UW3v4CoUZvU,,,,,27.90029907,-82.30239868,anonymous,EN,A2IUT0610X9CV0,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,6,Because the algorithms based on fairness,6,6,5,1,1,1,I'm just guessing.,5,I have no feelings either way,1,,,,,,,,,,,,,,,,,,,,,,,,,Computers making decisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,30,2,2,1,1,2
7/7/17 9:36,7/7/17 9:40,0,172.101.51.97,100,234,1,7/7/17 9:40,R_1ltWWYmTnuhRLSb,,,,,44.56159973,-69.55590057,anonymous,EN,ABWD0WJOT0B35,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,The algorithm only makes the orders on machinery that has broken down or is in danger of doing so.,4,4,4,1,1,1,"He would only be doing his job, there should be no strong emotions either way",6,"algorithms exist for a reason, so I trust them, yes",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Computerized programs that assist in making decisions in order to reduce work for humans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29,1,5,1,1,1
7/7/17 9:38,7/7/17 9:46,0,184.5.99.3,100,437,1,7/7/17 9:46,R_2R3tBFIzKlALZnd,,,,,30.37060547,-96.0565033,anonymous,EN,AADRVG2QVZH75,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,"Because, he works there so it is his job to do the work required.",5,5,5,2,1,1,I'm sure that Chris would feel the same way as he would having another person assign him tasks.,5,Because I believe that the algorithm would make good choices most of the time but there is always room for error.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Algorithms are programming code that tell computers what to do.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31,1,2,1,1,1
7/7/17 9:36,7/7/17 9:39,0,12.10.199.12,100,182,1,7/7/17 9:39,R_21gOMSK4f8zTCGy,,,,,40.69760132,-74.26319885,anonymous,EN,A2D5U0AACT6WS1,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,This is fair because there is no other reasonable manner to evaluate Chris's performance.,4,4,5,4,4,5,I answered this way because there was limited information to evaluate how Chris may or may not feel about his manager's evaluation.,4,As a baseline I place trust in individuals to perform their job competently and appropriately.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27,2,8,4,5,4
7/7/17 9:42,7/7/17 9:46,0,136.33.51.78,100,217,1,7/7/17 9:46,R_1C7tzgGhw0D9SBQ,,,,,39.01420593,-94.5951004,anonymous,EN,A1WRYUFOYFF8QO,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,The evaluation seems very important.,5,4,5,3,2,2,If Chris is doing a good job the outcome is positive.,6,The manager is competent.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,2,5,1,5,4
7/7/17 9:55,7/7/17 9:59,0,73.194.189.44,100,287,1,7/7/17 10:00,R_ABxaZ9Ko5vq5Esh,,,,,39.59959412,-74.36869812,anonymous,EN,A3L0DCUXI7X3A9,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"In order to make sure the employee is doing his job correctly, it would be fine for the manager to review his work.",4,3,4,2,2,3,Chris should have no problem with the manager reviewing his work.,5,"The manager knows what good quality is, so the evaluation should be fine.",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,2,3,1,5,4
7/7/17 9:35,7/7/17 9:39,0,107.11.178.238,100,236,1,7/7/17 9:39,R_1q322wkryFMYYKX,,,,,40.25939941,-81.9641037,anonymous,EN,A2HGAQ9WOEU9PN,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,7,If you don't have a good resume they shouldn't have to waste their time interviewing you.,3,1,3,3,1,1,He might just feel content about the process I'd think.,5,I'm sure he's used to this and has learned over time whom to pick out.,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,25,2,3,1,5,3
7/7/17 9:47,7/7/17 9:49,0,50.24.98.165,100,137,1,7/7/17 9:49,R_3hrKaPiNOZlDtPX,,,,,30.56700134,-96.28369904,anonymous,EN,A1HN4550TIXQBZ,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,7,The manager should be the one to decide.,7,7,7,1,1,1,Chris feels responsible.,7,Chris is confident.,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,30,2,5,4,5,3
7/7/17 9:37,7/7/17 9:53,0,99.93.75.26,100,974,1,7/7/17 9:53,R_3iR2axpzofO4WNa,,,,,41.02319336,-81.62799835,anonymous,EN,AVIH7MSMSTZCW,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,6,"With thousands of applicants seeking a position, it is understandable and appropriate that the manager should only select the top applicants for final on-site interviews. Attempting to interview all applicants, including Chris, would be ineffective and practically impossible.",5,5,5,1,1,1,"I think Chris has a lot of confidence in his experience and skills necessary for this position, which is why Chris applied. Chris understands the reasons for the manager's hiring procedures and is hoping for the best possible outcome.",5,"I trust the manager to make good quality decisions but this is only an assumption. If the manager fails to do quality work then sooner or later, she or he will be replaced or the company will fail. Without additional information, there is no harm done in assuming a moderate amount of trust.",1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,46,2,4,1,5,3
7/7/17 9:35,7/7/17 9:46,0,72.18.99.126,100,613,1,7/7/17 9:46,R_3fqUB47uolMBriC,,,,,34.70440674,-84.4253006,anonymous,EN,A1XNGWSER84GUX,"1,2",3,6,,,,,,,,,,,,,7,Chris works there so he is subject to the manager's schedule. The manager schedule is at his/her disposal.,4,4,4,2,2,2,"Unless he had already asked for a certain shift like evenings instead mornings he should not feel angry, frustrated, or disappointed. I doubt he would necessarily be happy unless he wanted to work mornings. Nor do I think he would be proud or joyful.",5,It's hard to determine something like that without knowing the person. He seems knowledgeable as any other manager would be so some trust is appropriate. Also the manager does consider the employees availability.,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33,1,5,1,5,2
7/7/17 9:37,7/7/17 9:45,0,99.46.169.184,100,506,1,7/7/17 9:45,R_1nTmTbeyDBRG23H,,,,,29.73950195,-95.38790131,anonymous,EN,A2YO837C0O1E91,"1,2",3,6,,,,,,,,,,,,,6,Most customers visit a coffee shop in the morning and Chris was highly likely to be scheduled for the morning anyway.,6,5,4,2,1,1,Morning shifts are typically more desirable. I have observed companies with a seniority policy schedule the newest workers for night shifts and the ones who have been around longer for the day.,6,The manager was being fair.,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,27,1,4,1,5,2
7/7/17 9:35,7/7/17 9:40,0,66.30.238.86,100,261,1,7/7/17 9:40,R_307taSTS8xXbKCz,,,,,41.68159485,-72.94049835,anonymous,EN,AYZPYHQ5ANE2J,"1,2",3,6,7,"Because his job is related to manufacturing and maintenance, making him a very reasonable person to go to for a maintenance request.",5,5,6,2,2,4,"While he is happy to do the job his manager asked him to do, he probably will not enjoy it all that much. I can't see how someone would enjoy fixing machinery like that, but I would need more information. From my standpoint, Chris enjoys his job, but sometimes he is reluctant to do maintenance.",6,"Because he went to Chris who is someone that works with manufacturing machines, so he knows about maintenance.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,1,5,1,5,1
7/7/17 10:08,7/7/17 10:13,0,75.39.195.166,100,323,1,7/7/17 10:13,R_cPlJINeDuIVWXSh,,,,,36.1013031,-94.26999664,anonymous,EN,A3H32595TVJ34Q,"1,2",3,6,7,"Because that is part of his job and that's what he gets paid to do. When a task is assigned to you, you should do it and ask questions if need be.",4,3,4,1,1,1,"I don't think he would be disappointed, or angry, I think he'd be pretty calm, or content because that's part of his job.",6,Because it is the managers job to be professional and to assign the appropriate tasks to his/her employees.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31,1,3,1,5,1
7/7/17 9:35,7/7/17 9:38,0,71.87.65.50,100,171,1,7/7/17 9:38,R_2wdFjlYDw5bRVL0,,,,,45.92779541,-87.99440002,anonymous,EN,A1NM7ZPZ3NH412,"1,2",3,6,6,It's part of his job so it seems fair.,4,4,4,1,1,1,There's no reason this decision should make him mad or particuarly happy either,5,There's no indication that the manager doesn't make good decisions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29,1,5,1,5,1
