emotion,ID,task,decision maker,mc,mc error,reading check error,fairness,fairness_OR,happy,joyful,proud,disappointed,angry,frustrated,emotion_OR,trust,trust_OR,programming exp,age,gender,education,ethnicity,algorithm definition
,R_1qWZjLA6QpkobRe,3,2,2,0.0,0.0,7,it saves him times reviewing applications for overall qualifications. ,5,5,5,3,3,3,"Hey might feel like while on paper the most qulaified should get the job, when you are working together personalities and social ability sometimes have as much if not more of an effect on a companies ability to work well.",6,I would think it would make the manager feel much more confident in his choice and in turn make me feel confident. ,2,28,2,2,1,Algorithms are points of data that are used to overall construct a profile of something. 
,R_2eXCbYhYiH3eFSz,1,2,4,1.0,0.0,6,The algorithm gives good information to make informed decisions.,5,5,5,2,2,2,"He was chosen, so that is a positive reflection on his good work.",6,Computers can make complex computations and the manager is using that data to make decisions.,1,36,2,5,1,a set of rules used to make calculations
,R_1hVUB56eV3ae0kt,2,1,1,0.0,0.0,3,An algorithm will not be ale to take into account all the personal obstacles in life. ,4,4,4,4,4,4,There is no telling how he will react.,3,Algorithms can be wrong,1,22,1,2,1,It is a type of equation that takes many variables into consideration when working something out. 
,R_xcqZTfrveLYcONH,3,3,3,0.0,0.0,2,I don't think the algorithm can judge a person or how effective they will be in their job. The ability to work with people and the means to carry out the duties effectively.,2,2,2,6,5,6,"I don't think Chris will like the outcome because the algorithm is going to pick people that look good on paper, not necessairly the right person for the job.",2,"I think it will look for job applicants that are good when you have everything laid out on paper, but otherwise, they will not be able to select a good person.",1,33,1,5,1,It is a computer that analyzes data and picks the best one based on information put into it.
,R_3novBQSmhM0OdBa,3,1,1,0.0,0.0,3,there is more to qualification than algorithims,5,5,5,5,5,2,hopes to be apointed,3,its not fair,1,30,2,5,2,results of some mathematical manipulation 
,R_216d0RP7GgH1nix,4,2,2,0.0,0.0,3,"human judgement would be a lot more useful than an algorithm, especially if it's analyzing tone which can be interpreted in many ways.",3,3,3,5,5,5,he would probably think this is an unfair and cold calculation of his job performance.,3,it would be useful but shouldn't be totally dependent on it.,1,28,1,2,1,they use data and patterns to make more data
,R_1dErCquZDcwufn4,2,3,2,1.0,0.0,6,"If it's based on Chris' availability, it seems fair.",5,5,5,3,2,4,"Chris should be happy to have a job and be able to work at a coffee shop in the morning, when he might get more tips.",5,I don't have any reason not to trust it. It makes sense that a coffee shop would be busy in the morning.,1,34,1,3,1,Algorithms measure data and give feedback for the best scenario (in this case when to work)
,R_rrMoZNev9o2yIfL,4,3,3,0.0,0.0,2,"Chris might be trying his best to help the customer, but the customer may still be angry and have an angry tone. It would be unfair to evaluate his performance because Chris is trying his best but the customer is being rude.",2,2,2,6,6,6,I don't think Chris would like the algorithm. He would only have negative feelings toward it.,2,"It is not a human, so I do not trust its judgement.",1,23,1,3,4,set of rules a computer follows to give out data
,R_24pXDninWJlIzuD,3,5,5,0.0,0.0,6,The manager should have the company's criteria for selection of candidates.,4,4,4,4,4,4,I do not yet know if Chris was picked.,6,"I believe that if this was his job, then he is probably good at it.",2,64,2,3,1,0
,R_RDEwcGF0sBGbZId,2,2,2,0.0,0.0,4,"The manager can decide when to work Chris wether or not the manager chooses to use an algorithmic analysis is up to the manager, just like not using an algorithm is up to the manger. Makes no difference.",6,6,4,2,2,2,Chris would be happy whenever the manager works him.,7,"Part of being a manager is scheduling, how he chooses to schedule is up to the manager.",1,38,1,3,1,Statistics that show the probability of whatever is asked to solve. 
,R_2Yyuxy4pCDaipL7,2,4,4,0.0,0.0,4,"He is an employee, he has to work. Fair doesn't really matter. ",4,4,6,2,2,2,He should be happy to have a job that pays. ,6,It uses all the info available and it has no concern other than the running of the business. ,1,35,2,3,1,A way to solve a problem. 
,R_u2ZM70Ke9qoeNz3,3,2,3,1.0,0.0,4,It's a method that can make the hiring process more efficient but it's neither fair nor unfair.,4,4,3,4,4,4,I don't think he'd be upset by it,4,The algorithm will cut down the number of applicants then the manager can make the decision based on interviews.,1,39,2,5,1,A set of instructions that a computer follows
,R_3kqbdkCZHZ0Bks1,1,2,2,0.0,0.0,6,The only way it would be unfair is if Chris wasn't being paid.,4,4,4,4,4,4,I don't know enough about chris to even begin to guess how he might feel. ,4,I have no choice but to assume a certain amount of trust.,2,37,2,3,1,set of rules to be followed in calculations or problem solving 
